Data	Horas trabalhadas	Tipo de tarefa					Descrição da tarefa realizada 
17/11   4h                  Criando base do T4              Criei o Módulo Usuário e Chat, estruturei as funções
22/11   1h                  Codificação                     Fiz pequenas alterações no .H do módulo Usuário
26/11	2h		            Codificação			    Continuei o desenvolvimento do módulo Usuário
29/11   3h		         Codificação e Estudo 	    Continuei o módulo usuario mas me deparei com algumas dúvidas estruturais e estudei mudanças no modelo fisico.
01/12   6h               Codificação e Estudo            Pair programming com o Hugo no módulo Chat, monitoria ,criação do módulo REDE, codificação do módulo Usuario, alterações no modulo Grafo para adicionar ,função de deturpar e de recuperar, e testes para estas.
02/12   4h		            Codificação			    Alterações no modulo Grafo permitir caminhar na lista de origens, alteração nos testes para inluir essas funções, codificação do módulo USUARIO e do modulo REDE  
03/12   5h		            Codificação			    Codificação do módulo rede e modulo usuário
05/12   1h		   Organização e ajustes e testes	Criei os batches de geramake, compila e teste para todos os modulos, arrumei pequenos erros nos modulos de testes e comecei a rodar os testes nos modulos
06/12   6h			codificação e testes	        Adicionei intrumentação no grafo com CESPDIN e Conta com casos de teste, criação da função de verificação com deturpação e recuperação, testei isso tudo
07/12   8h			Testes e ajustes codificação 	trabalhei bastante mas não consegui fazer a entrega final com um resultado satisfatorio, o programa já funciona mas os testes não estão 100% e a instrumentação tbm, deixamos pra entregar amanha
